13.0326,-2.34892
3.66285,-0.814118
7.055,-0.413612
11.9208,-9.39551
10.4221,0.0506794
7.02984,1.72186
4.07598,-1.84356
4.981,-1.12818
4.89022,-1.02634
2.89821,0.656912
10.9157,0.995392
6.20598,1.71912
6.9901,-1.88707
7.207,-1.12786
6.07422,-2.21
4.25297,-1.02517
4.02592,0.243853
2.52591,1.40763
6.34936,-1.61664
6.993,-1.12693
6.948,-0.413356
6.258,0.299299
5.44791,-1.36447
0.0510825,0.128913
6.72234,-1.91694
7.078,-1.12669
6.263,-0.413222
1.96542,0.207311
3.92482,0.179801
6.83529,1.52105
8.18539,-3.33554
7.014,-1.12631
6.404,-0.413073
9.779,0.3
5.65426,0.0261024
5.19399,1.72425
7.67055,-5.78827
6.734,-1.12609
6.50055,-1.91487
0.916726,-5.08743
-0.623993,-6.85044
-0.626144,-6.13527
